date,sum
1988,81
1989,89
1990,89
1991,90
1992,94
1993,94
1994,96
1995,98
1996,98
1997,98
1998,99
1999,99
2000,99
2001,99
2002,99
2003,99
2004,102
2005,103
2006,104
2007,104
2008,107
2009,109
2010,113
2011,129
2012,130
2013,133
2014,134
2015,135
2016,135
2017,135
2018,136
2019,137
2020,137
2021,137
2022,137
2023,137
2024,146
2025,152
