date,pro,con
1988,81,111
1989,89,103
1990,89,103
1991,90,102
1992,94,98
1993,94,98
1994,96,96
1995,98,94
1996,98,94
1997,98,94
1998,99,93
1999,99,93
2000,99,93
2001,99,93
2002,99,93
2003,99,93
2004,102,90
2005,103,89
2006,104,88
2007,104,88
2008,107,85
2009,109,83
2010,113,79
2011,129,63
2012,130,62
2013,133,59
2014,134,58
2015,135,57
2016,135,57
2017,135,57
2018,136,56
2019,137,55
2020,137,55
2021,137,55
2022,137,55
2023,137,55
2024,146,46
2025,152,40
